ID,Latitude,Longitude,Distance,State,ZIP,Latitude_1,Longitude_2,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State_3,County,Zip.1,Country,Source
015009,34.515066,-87.735655,,AL,35653,34.515066,-87.735655,1,range_interpolation,701,Monroe St NW,,,Russellville,AL,Franklin County,35653,US,TIGER/LineÂ® dataset from the US Census Bureau
015010,33.163875,-86.254985,,AL,35150,33.163875,-86.254985,1,range_interpolation,260,W Walnut St,,,Sylacauga,AL,Talladega County,35150,US,TIGER/LineÂ® dataset from the US Census Bureau
015012,34.662195,-86.047411,,AL,35768,34.662195,-86.047411,1,rooftop,380,Woods Cove Rd,,,Scottsboro,AL,Jackson County,35768,US,Jackson
015014,33.559181,-86.721826,,AL,35206,33.559181,-86.721826,1,rooftop,7755,4th Ave S,,,Birmingham,AL,Jefferson County,35206,US,Jefferson
015015,33.321867,-87.033064,,AL,35111,33.321867,-87.033064,1,rooftop,6450,Old Tuscaloosa Hwy,Box,97,McCalla,AL,Jefferson County,35111,US,Jefferson
015016,34.803201,-86.977563,,AL,35611,34.803201,-86.977563,1,rooftop,611,Market St W,,,Athens,AL,Limestone County,35611,US,Limestone
015019,32.53874,-86.31497,,AL,36025,32.53874,-86.31497,1,place,,,,,Elmore,AL,Elmore County,36025,US,TIGER/LineÂ® dataset from the US Census Bureau
015023,32.854993,-86.624979,,AL,35045,32.854993,-86.624979,1,range_interpolation,300,Medical Center Dr,,,Clanton,AL,Chilton County,35045,US,TIGER/LineÂ® dataset from the US Census Bureau
015024,34.80662,-86.992038,,AL,35611,34.80662,-86.992038,1,rooftop,1600,Hobbs St W,,,Athens,AL,Limestone County,35611,US,Limestone
015027,32.558406,-86.221307,,AL,36092,32.558406,-86.221307,1,rooftop,1825,Holtville Rd,,,Wetumpka,AL,Elmore County,36092,US,Elmore
015028,34.742965,-87.707101,,AL,35674,34.742965,-87.707101,1,rooftop,813,Keller Ln,,,Tuscumbia,AL,Colbert County,35674,US,Colbert
015031,34.808573,-87.687468,,AL,35631,34.808573,-87.687468,0.9,rooftop,805,Flagg Cir,Fl,ENCE,Florence,AL,Lauderdale County,35630,US,Lauderdale
015032,30.427699,-87.686023,,AL,36535,30.427699,-87.686023,1,rooftop,1701,Alston St N,,,Foley,AL,Baldwin County,36535,US,Baldwin
015034,33.239281,-87.624262,,AL,35473,33.239281,-87.624262,0.6,street_center,,34th St,,,Northport,AL,Tuscaloosa County,35473,US,TIGER/LineÂ® dataset from the US Census Bureau
015035,31.125184,-87.259277,,AL,36427,31.125184,-87.259277,0.9,range_interpolation,100,Pineview St,Box,49,Brewton,AL,Escambia County,36426,US,TIGER/LineÂ® dataset from the US Census Bureau
015037,32.317878,-86.2621,,AL,36116,32.317878,-86.2621,1,rooftop,3312,Woodley Rd,,,Montgomery,AL,Montgomery County,36116,US,City of Montgomery
015040,32.359273,-86.279688,,AL,36106,32.359273,-86.279688,1,rooftop,2020,N Country Club Dr,,,Montgomery,AL,Montgomery County,36106,US,City of Montgomery
015042,32.490202,-88.295585,,AL,36925,32.490202,-88.295585,0.6,street_center,,4th Ave,,,York,AL,Sumter County,36925,US,TIGER/LineÂ® dataset from the US Census Bureau
015044,33.488027,-86.956661,,AL,35127,33.488027,-86.956661,1,rooftop,700,1st Ave,,,Pleasant Grove,AL,Jefferson County,35127,US,Jefferson
015045,32.827309,-85.18812,,AL,36854,32.827309,-85.18812,0.6,street_center,,48th St,,,Valley,AL,Chambers County,36854,US,TIGER/LineÂ® dataset from the US Census Bureau
015047,33.533391,-86.80957,,AL,35234,33.533391,-86.80957,0.9,range_interpolation,1424,25th St N,,,Birmingham,AL,Jefferson County,35234,US,TIGER/LineÂ® dataset from the US Census Bureau
015048,34.191564,-86.847314,,AL,35055,34.191564,-86.847314,0.9,range_interpolation,1607,Main Ave NE,,,Cullman,AL,Cullman County,35055,US,TIGER/LineÂ® dataset from the US Census Bureau
015049,30.612413,-87.909174,,AL,36526,30.612413,-87.909174,1,rooftop,101,Villa Dr,,,Daphne,AL,Baldwin County,36526,US,Baldwin
015050,33.429518,-86.940976,,AL,35020,33.429518,-86.940976,1,rooftop,325,Selma Rd,,,Bessemer,AL,Jefferson County,35020,US,Jefferson
015053,33.636163,-85.588321,,AL,36264,33.636163,-85.588321,1,range_interpolation,122,Brockford Rd,,,Heflin,AL,Cleburne County,36264,US,TIGER/LineÂ® dataset from the US Census Bureau
015060,33.430091,-86.940799,,AL,35020,33.430091,-86.940799,1,rooftop,4201,Bessemer Super Hwy,,,Bessemer,AL,Jefferson County,35020,US,Jefferson
015063,34.220503,-86.161696,,AL,35957,34.220503,-86.161696,1,rooftop,600,Corley Ave,,,Boaz,AL,Marshall County,35957,US,Marshall
015065,32.482153,-86.428707,,AL,36066,32.482153,-86.428707,1,range_interpolation,601,Jasmine Trl,,,Prattville,AL,Autauga County,36066,US,TIGER/LineÂ® dataset from the US Census Bureau
015066,34.51277,-87.718326,,AL,35653,34.51277,-87.718326,1,range_interpolation,390,Underwood Rd,,,Russellville,AL,Franklin County,35653,US,TIGER/LineÂ® dataset from the US Census Bureau
